;time mandante;placar mandante;placar visitante;time visitante;rodada;lambda mandante;lambda visitante;erro média mandante;erro média visitante;erro moda mandante;erro moda visitante;frequência do erro;probabilidade placar;probabilidade máxima;nota do ranqueamento;partida;resultado;previsão;correto2
74;Atlético-MG;2;0;Santos;27;0,9766;1,6579;-1,023;1,658;-2;1;4;0,034218001;0,118962346;0;75;0;1;0
75;São Paulo;1;0;Avaí;27;1,9623;0,4092;0,962;0,409;0;0;24;0,18316228;0,18316228;10;76;0;0;1
76;Internacional;0;1;Vasco;27;1,2369;0,4391;1,237;-0,561;1;-1;7;0,082164816;0,231449922;6;77;1;0;0
77;Flamengo;2;0;Fluminense;27;3,557;0,6271;1,557;0,627;1;0;13;0,096384277;0,114279624;8;78;0;0;1
78;Chapecoense;2;2;Goiás;27;1,2592;0,8229;-0,741;-1,177;-1;-2;7;0,03346409;0,156982114;0;79;1;1;1
79;Botafogo;2;1;CSA;27;1,3191;0,4309;-0,681;-0,569;-1;-1;20;0,065145826;0,229225209;4;80;0;0;1
80;Bahia;2;3;Internacional;28;1,2192;0,7047;-0,781;-2,295;-1;-3;1;0,006330563;0,178047467;0;81;1;1;1
81;São Paulo;2;0;Atlético-MG;28;1,2637;0,5471;-0,736;0,547;-1;0;20;0,130568233;0,206644351;8;82;0;0;1
82;Cruzeiro;1;1;Fortaleza;28;1,2011;1,0469;0,201;0,047;0;0;24;0,132797644;0,132797644;10;83;1;1;1
83;Avaí;1;2;Palmeiras;28;0,3655;1,3335;-0,635;-0,667;-1;-1;20;0,059426082;0,24385221;4;84;1;1;1
84;Corinthians;0;0;Santos;28;1,0651;0,6441;1,065;0,644;1;0;13;0,181010543;0,19279433;9;85;1;1;1
85;Ceará;1;1;Vasco;28;0,8126;0,6307;-0,187;-0,369;-1;-1;20;0,121027043;0,236147186;7;86;1;1;1
86;Grêmio;3;0;Botafogo;28;1,9655;0,8101;-1,035;0,81;-2;0;9;0,078856978;0,12247439;6;87;0;0;1
87;Fluminense;1;1;Chapecoense;28;1,4691;0,664;0,469;-0,336;0;-1;20;0,115564882;0,174043496;7;88;1;0;0
88;Athlético-PR;4;1;Goiás;28;2,3328;0,7147;-1,667;-0,285;-2;-1;12;0,041870691;0,129185147;2;89;0;0;1
89;Flamengo;1;0;CSA;28;3,4075;0,3573;2,407;0,357;2;0;5;0,078959429;0,152800395;6;90;0;0;1
90;Vasco;1;3;Grêmio;29;0,8949;1,7316;-0,105;-1,268;-1;-2;7;0,056013348;0,125248669;3;91;1;1;1
91;Palmeiras;3;0;São Paulo;29;1,1113;0,4069;-1,889;0,407;-2;0;9;0,050118355;0,243492412;4;92;0;0;1
92;Santos;1;0;Bahia;29;1,3883;0,9812;0,388;0,981;0;0;24;0,129844198;0,129844198;10;93;0;1;0
93;Avaí;1;3;Fortaleza;29;0,6661;1,497;-0,334;-1,503;-1;-2;7;0,042818474;0,172107346;3;94;1;1;1
94;Goiás;2;2;Flamengo;29;0,9884;1,6309;-1,012;-0,369;-2;-1;12;0,047327396;0,118817332;1;95;1;1;1
95;Botafogo;0;2;Cruzeiro;29;1,1621;0,8889;1,162;-1,111;1;-2;4;0,050808671;0,149453303;3;96;1;1;1
96;CSA;2;1;Corinthians;29;0,6143;1,0208;-1,386;0,021;-2;0;9;0,037545405;0,198987481;4;97;0;1;0
97;Internacional;1;1;Athlético-PR;29;1,2835;1,0658;0,284;0,066;0;0;24;0,13055201;0,13055201;10;98;1;1;1
98;Atlético-MG;0;2;Chapecoense;29;2,2132;1,1629;2,213;-0,837;2;-1;2;0,023111767;0,097349135;0;99;1;0;0
99;Ceará;2;0;Fluminense;29;1,3617;0,5975;-0,638;0,598;-1;0;20;0,130696251;0,191960419;8;100;0;0;1
100;Fluminense;0;0;Vasco;30;0,746;0,8045;0,746;0,805;0;0;24;0,212141876;0,212141876;10;101;1;1;1
101;Palmeiras;1;0;Ceará;30;2,3164;0,5363;1,316;0,536;1;0;13;0,133629298;0,154769453;9;102;0;0;1
102;Flamengo;4;1;Corinthians;30;1,7004;0,6432;-2,3;-0,357;-3;-1;4;0,021504365;0,163206912;0;103;0;0;1
103;Athlético-PR;1;0;CSA;30;1,8463;0,3896;0,846;0,39;0;0;24;0,197361864;0,197361864;10;104;0;0;1
104;Cruzeiro;1;1;Bahia;30;0,578;0,7856;-0,422;-0,214;-1;-1;20;0,116124901;0,255738459;7;105;1;1;1
105;Grêmio;2;0;Internacional;30;1,9717;1,0518;-0,028;1,052;-1;1;4;0,094528401;0,100852028;7;106;0;0;1
106;Fortaleza;2;2;Atlético-MG;30;1,1955;0,7069;-0,804;-1,293;-1;-2;7;0,026641171;0,178380657;0;107;1;1;1
107;Santos;4;1;Botafogo;30;2,1418;0,5954;-1,858;-0,405;-2;-1;12;0,033803556;0,148517277;1;108;0;0;1
108;Goiás;2;0;Avaí;30;2,1699;0,5392;0,17;0,539;0;0;24;0,156784189;0,156784189;10;109;0;0;1
109;Chapecoense;0;3;São Paulo;30;0,6221;0,6817;0,622;-2,318;0;-3;2;0,014334927;0,271498137;2;110;1;1;1
110;Vasco;1;2;Palmeiras;31;0,896;1,2932;-0,104;-0,707;-1;-1;20;0,083917382;0,14484657;5;111;1;1;1
111;Ceará;2;0;Internacional;31;1,2351;0,7227;-0,765;0,723;-1;0;20;0,107674413;0,1743574;7;112;0;1;0
112;Athlético-PR;0;0;Cruzeiro;31;1,4334;0,7568;1,433;0,757;1;0;13;0,111894368;0,160389386;7;113;1;0;0
113;São Paulo;0;2;Fluminense;31;1,5295;0,3624;1,53;-1,638;1;-2;4;0,009901583;0,230625726;0;114;1;0;0
114;Avaí;1;2;Santos;31;0,3679;1,0823;-0,632;-0,918;-1;-1;20;0,050533718;0,253824653;5;115;1;1;1
115;Bahia;1;1;Chapecoense;31;1,5904;0,8754;0,59;-0,125;0;-1;20;0,11825774;0,135089948;9;116;1;0;0
116;Botafogo;0;1;Flamengo;31;0,7631;2,0727;0,763;1,073;0;1;8;0,121608563;0,126029034;9;117;1;1;1
117;Corinthians;3;2;Fortaleza;31;1,7361;0,9377;-1,264;-1,062;-2;-2;3;0,026451738;0,119772786;0;118;0;0;1
118;Atlético-MG;2;0;Goiás;31;2,5448;1,3421;0,545;1,342;0;1;8;0,066407647;0,089125704;7;119;0;0;1
119;Grêmio;2;1;CSA;31;2,1626;0,3655;0,163;-0,635;0;-1;20;0,068213432;0,186630458;5;120;0;0;1
120;Fortaleza;1;0;Ceará;32;1,1428;0,8069;0,143;0,807;0;0;24;0,162639594;0,162639594;10;121;0;1;0
121;Internacional;2;1;Fluminense;32;1,4531;0,5214;-0,547;-0,479;-1;-1;20;0,076421856;0,201734905;6;122;0;0;1
122;Flamengo;3;1;Bahia;32;1,7691;0,5965;-1,231;-0,404;-2;-1;12;0,051683191;0,166106014;3;123;0;0;1
123;Goiás;0;3;Santos;32;1,1548;0,7132;1,155;-2,287;1;-3;1;0,009337286;0,178338325;0;124;1;1;1
124;Cruzeiro;0;0;Atlético-MG;32;1,019;0,8454;1,019;0,845;1;0;13;0,154989175;0,15793397;9;125;1;1;1
125;CSA;0;3;Vasco;32;0,7422;0,8263;0,742;-2,174;0;-3;2;0,019591654;0,208357484;2;126;1;1;1
126;Chapecoense;0;1;Grêmio;32;0,6784;2,5602;0,678;1,56;0;1;8;0,100407877;0,128532123;8;127;1;1;1
127;Palmeiras;1;1;Corinthians;32;1,9324;0,5138;0,932;-0,486;0;-1;20;0,086004261;0,167388596;6;128;1;0;0
128;Botafogo;2;0;Avaí;32;1,3181;0,5465;-0,682;0,546;-1;0;20;0,134611212;0,204250378;8;129;0;0;1
129;São Paulo;0;1;Athlético-PR;32;1,0629;1,1718;1,063;0,172;1;0;13;0,125410995;0,133299347;9;130;1;1;1
130;Chapecoense;1;0;Ceará;33;0,7457;0,9573;-0,254;0,957;-1;0;20;0,135819035;0,182136295;8;131;0;1;0
131;Santos;1;1;São Paulo;33;1,3779;0,7549;0,378;-0,245;0;-1;20;0,123266156;0,16328806;9;132;1;0;0
132;Grêmio;0;1;Flamengo;33;1,3401;1,6086;1,34;0,609;1;0;13;0,084303174;0,112974683;8;133;1;1;1
133;Fluminense;1;1;Atlético-MG;33;1,0344;0,7219;0,034;-0,278;0;-1;20;0,128947865;0,178622891;8;134;1;1;1
134;Corinthians;0;0;Internacional;33;1,5728;0,7609;1,573;0,761;1;0;13;0,096936418;0,152461598;7;135;1;0;0
135;Bahia;1;1;Palmeiras;33;1,0828;1,167;0,083;0,167;0;0;24;0,133212009;0,133212009;10;136;1;1;1
136;Athlético-PR;1;0;Botafogo;33;1,7148;0,5127;0,715;0,513;0;0;24;0,184851303;0,184851303;10;137;0;0;1
137;Cruzeiro;0;0;Avaí;33;1,1705;0,3834;1,171;0,383;1;0;13;0,211421819;0,247469239;9;138;1;0;0
138;Vasco;1;1;Goiás;33;1,8772;0,9208;0,877;-0,079;0;-1;20;0,105322194;0,114381183;8;139;1;0;0
139;Fortaleza;3;0;CSA;33;1,318;0,4403;-1,682;0,44;-2;0;9;0,065761997;0,227140942;4;140;0;0;1
140;Botafogo;1;0;Corinthians;34;0,8855;0,9847;-0,115;0,985;-1;0;20;0,13644921;0,15409284;8;141;0;1;0
141;Internacional;2;2;Fortaleza;34;1,9849;0,8758;-0,015;-1,124;-1;-2;7;0,043235544;0,113593219;1;142;1;0;0
142;Flamengo;4;4;Vasco;34;1,6492;0,6992;-2,351;-3,301;-3;-4;1;0,00029321;0,157534676;0;143;1;0;0
143;Palmeiras;1;2;Grêmio;34;1,5812;0,943;0,581;-1,057;0;-2;8;0,056329262;0,126689515;4;144;1;0;0
144;Santos;4;1;Cruzeiro;34;1,736;0,8515;-2,264;-0,149;-3;-1;4;0,02423457;0,130560784;0;145;0;0;1
145;Ceará;1;1;São Paulo;34;0,8528;0,5432;-0,147;-0,457;-1;-1;20;0,114691665;0,247585327;7;146;1;1;1
146;CSA;0;1;Fluminense;34;1,24;1,1454;1,24;0,145;1;0;13;0,105436534;0,130741302;8;147;1;1;1
147;Atlético-MG;0;1;Athlético-PR;34;1,2616;2,298;1,262;1,298;1;1;4;0,065378565;0,094771356;6;148;1;1;1
148;Avaí;0;1;Chapecoense;34;0,7118;1,372;0,712;0,372;0;0;24;0,170754151;0,170754151;10;149;1;1;1
149;Goiás;4;3;Bahia;34;1,215;1,0463;-2,785;-1,954;-3;-2;1;0,001806513;0,132483683;0;150;0;1;0
150;Athlético-PR;2;0;Grêmio;35;0,9965;1,2053;-1,004;1,205;-2;1;4;0,05491551;0,133310871;3;151;0;1;0
151;Bahia;1;1;Atlético-MG;35;1,4259;0,8785;0,426;-0,121;0;-1;20;0,125038176;0,142331447;9;152;1;0;0
152;Flamengo;4;1;Ceará;35;2,749;0,6405;-1,251;-0,36;-2;-1;12;0,051400306;0,127431953;3;153;0;0;1
153;Fluminense;1;0;Palmeiras;35;0,7725;0,9724;-0,228;0,972;-1;0;20;0,134926746;0,174662454;8;154;0;1;0
154;Fortaleza;2;1;Santos;35;0,8724;0,8923;-1,128;-0,108;-2;-1;12;0,058145049;0,17123815;3;155;0;1;0
155;São Paulo;1;0;Vasco;35;0,8509;0,8834;-0,149;0,883;-1;0;20;0,150204036;0,176523724;8;156;0;1;0
156;Chapecoense;0;1;Botafogo;35;0,9333;0,7501;0,933;-0,25;0;-1;20;0,13932461;0,185741381;8;157;1;1;1
157;Corinthians;3;0;Avaí;35;1,7782;0,3309;-1,222;0,331;-2;0;9;0,113715607;0,215779466;7;158;0;0;1
158;Internacional;1;2;Goiás;35;2,2884;0,5771;1,288;-1,423;1;-2;4;0,021703674;0,149129322;0;159;1;0;0
159;Cruzeiro;0;1;CSA;35;0,8581;0,325;0,858;-0,675;0;-1;20;0,099556486;0,306327649;7;160;1;1;1
160;Botafogo;0;1;Internacional;36;0,9996;0,7654;1;-0,235;0;-1;20;0,131026366;0,171186786;8;161;1;1;1
