;Unnamed: 0;Unnamed: 0.1;ano;date;round;home_team;away_team;placar_casa;placar_visitante;resultado;arena;mv38;me38;md38;mvc19;mec19;mdc19;vv38;ve38;vd38;vvf19;vef19;vdf19;mv6;me6;md6;mvc3;mec3;mdc3;vv6;ve6;vd6;vvf3;vef3;vdf3;mgm38;mgs38;mgmc19;mgsc19;vgm38;vgs38;vgmf19;vgsf19;mgm6;mgs6;mgmc3;mgsc3;vgm6;vgs6;vgmf3;vgsf3;model_prediction;resultado_0-1;correto
1518;1518;1898;2010;05/12/2010;38;Athletico-PR;Avaí;1.0;0.0;0.0;Arena da Baixada;0.5517241379310345;0.5263157894736842;0.42857142857142855;0.6666666666666666;0.5;0.07692307692307693;0.42857142857142855;0.5263157894736842;0.02279202279202279;0.2307692307692308;0.4166666666666667;0.6470588235294118;0.5;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.5060240963855421;0.569620253164557;0.5185185185185185;0.42105263157894735;0.5747126436781609;0.7307692307692307;0.4324324324324325;0.6851851851851852;0.3684210526315789;0.3181818181818182;0.35714285714285715;0.25;0.4761904761904762;0.3809523809523809;0.25;0.5;0.23000646;0.0;1
1519;1519;1899;2010;02/12/2010;38;Barueri/Prudente;Internacional;0.0;3.0;1.0;Prudentão;0.2413793103448276;0.5789473684210527;0.7142857142857143;0.2777777777777778;0.5;0.6153846153846154;0.5714285714285714;0.5263157894736842;0.017094017094017092;0.5384615384615384;0.25;0.5294117647058824;0.16666666666666666;0.16666666666666666;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.16666666666666666;0.6666666666666666;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.0;0.4698795180722892;0.7721518987341772;0.462962962962963;0.5789473684210527;0.5632183908045977;0.5384615384615384;0.5945945945945946;0.5;0.42105263157894735;0.5;0.35714285714285715;0.3333333333333333;0.3809523809523809;0.3809523809523809;0.5;0.35714285714285715;0.60877687;1.0;1
1520;1520;1900;2011;22/05/2011;1;Palmeiras;Botafogo;1.0;0.0;0.0;Teixeirão;0.4137931034482759;0.7368421052631579;0.42857142857142855;0.4444444444444444;0.4166666666666667;0.4615384615384616;0.5;0.8947368421052632;0.009971509971509971;0.4615384615384616;0.5833333333333334;0.35294117647058826;0.16666666666666666;0.0;0.8333333333333334;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.5060240963855421;0.5443037974683544;0.4814814814814815;0.6052631578947368;0.6206896551724138;0.5384615384615384;0.5945945945945946;0.4259259259259259;0.15789473684210525;0.4545454545454545;0.14285714285714285;0.3333333333333333;0.42857142857142855;0.4761904761904762;0.16666666666666666;0.35714285714285715;0.38182813;0.0;1
1521;1521;1901;2011;22/05/2011;1;Grêmio;Corinthians;1.0;2.0;1.0;Olímpico Monumental;0.5862068965517241;0.631578947368421;0.32142857142857145;0.6111111111111112;0.3333333333333333;0.3076923076923077;0.6785714285714286;0.5789473684210527;0.011396011396011395;0.3076923076923077;0.75;0.35294117647058826;0.8333333333333334;0.16666666666666666;0.0;1.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.6666666666666666;0.0;0.8192771084337349;0.5443037974683544;0.7592592592592593;0.5263157894736842;0.7471264367816092;0.5256410256410257;0.6486486486486487;0.5;0.8421052631578947;0.09090909090909093;0.7857142857142857;0.16666666666666666;0.5238095238095238;0.09523809523809523;0.3333333333333333;0.14285714285714285;0.2824489;1.0;0
1522;1522;1902;2011;22/05/2011;1;Coritiba;Atlético-GO;0.0;1.0;1.0;Couto Pereira;0.4137931034482759;0.4736842105263158;0.6071428571428571;0.5555555555555556;0.3333333333333333;0.38461538461538464;0.3928571428571429;0.4736842105263158;0.02564102564102564;0.3076923076923077;0.25;0.7058823529411765;0.3333333333333333;0.16666666666666666;0.5;0.6666666666666666;0.3333333333333333;0.0;0.16666666666666666;0.5;0.3333333333333333;0.0;0.3333333333333333;0.6666666666666666;0.5783132530120482;0.7594936708860759;0.5925925925925926;0.5789473684210527;0.5862068965517241;0.7307692307692307;0.5405405405405406;0.6111111111111112;0.2631578947368421;0.5454545454545454;0.2857142857142857;0.16666666666666666;0.3809523809523809;0.42857142857142855;0.16666666666666666;0.42857142857142855;0.2699522;1.0;0
1523;1523;1903;2011;22/05/2011;1;Figueirense;Cruzeiro;1.0;0.0;0.0;Orlando Scarpelli;0.3793103448275862;0.5789473684210527;0.5714285714285714;0.3888888888888889;0.4166666666666667;0.5384615384615384;0.7142857142857143;0.4736842105263158;0.01282051282051282;0.6923076923076923;0.3333333333333333;0.35294117647058826;0.5;0.16666666666666666;0.3333333333333333;0.6666666666666666;0.0;0.3333333333333333;0.6666666666666666;0.0;0.3333333333333333;0.6666666666666666;0.0;0.3333333333333333;0.5903614457831325;0.9240506329113924;0.5555555555555556;0.8421052631578947;0.6091954022988506;0.4871794871794872;0.7027027027027027;0.4259259259259259;0.631578947368421;0.5;0.5;0.5;0.3809523809523809;0.2857142857142857;0.25;0.14285714285714285;0.37800217;0.0;1
1524;1524;1904;2011;21/05/2011;1;Atlético-MG;Athletico-PR;3.0;0.0;0.0;Arena do Jacaré;0.4482758620689655;0.3157894736842105;0.6785714285714286;0.5;0.08333333333333333;0.6923076923076923;0.6071428571428571;0.4736842105263158;0.017094017094017092;0.38461538461538464;0.25;0.6470588235294118;0.5;0.3333333333333333;0.16666666666666666;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.16666666666666666;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6265060240963856;0.810126582278481;0.6111111111111112;0.7631578947368421;0.4942528735632184;0.5769230769230769;0.4324324324324325;0.5370370370370371;0.5789473684210527;0.3636363636363637;0.6428571428571429;0.3333333333333333;0.3333333333333333;0.2380952380952381;0.25;0.2857142857142857;0.31121892;0.0;1
1525;1525;1905;2011;21/05/2011;1;Ceará;Vasco;1.0;3.0;1.0;Presidente Vargas;0.3448275862068966;0.8947368421052632;0.3928571428571429;0.5;0.75;0.07692307692307693;0.3928571428571429;0.8421052631578947;0.015669515669515667;0.15384615384615385;0.5833333333333334;0.5882352941176471;0.0;0.6666666666666666;0.3333333333333333;0.0;1.0;0.0;0.3333333333333333;0.16666666666666666;0.5;0.0;0.0;1.0;0.42168674698795183;0.5569620253164557;0.4074074074074074;0.3157894736842105;0.4942528735632184;0.5769230769230769;0.2972972972972973;0.462962962962963;0.3684210526315789;0.5909090909090909;0.35714285714285715;0.4166666666666667;0.2857142857142857;0.3809523809523809;0.08333333333333333;0.42857142857142855;0.24231967;1.0;0
1526;1526;1906;2011;21/05/2011;1;Flamengo;Avaí;4.0;0.0;0.0;Cláudio Moacir Azevedo;0.3103448275862069;0.8947368421052632;0.42857142857142855;0.3333333333333333;0.75;0.3076923076923077;0.3928571428571429;0.5263157894736842;0.02421652421652422;0.15384615384615385;0.4166666666666667;0.7058823529411765;0.16666666666666666;0.3333333333333333;0.5;0.3333333333333333;0.0;0.6666666666666666;0.5;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.6666666666666666;0.4939759036144578;0.5569620253164557;0.4444444444444444;0.5;0.5632183908045977;0.7435897435897436;0.40540540540540543;0.7037037037037037;0.3157894736842105;0.4545454545454545;0.21428571428571427;0.3333333333333333;0.42857142857142855;0.42857142857142855;0.25;0.5;0.25202268;0.0;1
1527;1527;1907;2011;22/05/2011;1;Fluminense;São Paulo;0.0;2.0;1.0;São Januário;0.6896551724137931;0.5789473684210527;0.25;0.6666666666666666;0.4166666666666667;0.15384615384615385;0.5357142857142857;0.5263157894736842;0.018518518518518517;0.38461538461538464;0.5833333333333334;0.4117647058823529;0.6666666666666666;0.3333333333333333;0.0;0.6666666666666666;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.0;0.7469879518072289;0.4556962025316456;0.5740740740740741;0.3947368421052632;0.6206896551724138;0.6923076923076923;0.6216216216216216;0.5;0.4736842105263158;0.13636363636363635;0.21428571428571427;0.08333333333333333;0.42857142857142855;0.3809523809523809;0.3333333333333333;0.14285714285714285;0.23499161;1.0;0
